"행정구역별(시군구)","성별","연령별","시점",일반가구원,가구주,가구주의 배우자,자녀,자녀의 배우자,가구주의 부모,배우자의 부모,손자녀 그 배우자,친손자녀·그 배우자,외손자녀·그 배우자,증손자녀·그 배우자,조부모,형제자매·그 배우자,형제자매의 자녀·그 배우자,부모의 형제자매·그 배우자,기타 친·인척,기타 동거인
"전국","계","25~29세","2024",3165669,1185705,125830,1578695,4386,X,X,42241,-,-,13,X,91436,32601,28,6651,98078
"전국","계","30~34세","2015",3570246,1474412,905001,975136,43938,16,X,-,10848,3184,X,X,101743,16828,68,5256,33813
"전국","계","30~34세","2016",3394882,1393416,847912,946437,40460,33,X,-,11101,3349,X,X,87526,17262,54,4887,42439
"전국","계","30~34세","2017",3210358,1325967,778898,907642,34365,35,X,-,10851,3532,X,X,79196,17792,50,4897,47130
"전국","계","30~34세","2018",3076625,1278234,720890,883970,28724,27,X,-,10423,3787,X,X,74116,18911,31,4964,52544
"전국","계","30~34세","2019",3023482,1277367,678849,874002,24159,33,X,-,10431,4035,X,X,71872,19571,30,5304,57826
"전국","계","30~34세","2020",3042091,1333934,655288,853760,19179,28,X,13729,-,-,X,X,72035,20976,22,5664,67471
"전국","계","30~34세","2021",3091042,1419263,621155,834135,15483,17,X,13984,-,-,X,X,75032,23982,34,6322,81629
"전국","계","30~34세","2022",3186443,1488951,589352,870772,14144,16,X,15059,-,-,X,X,78838,26247,51,6657,96352
"전국","계","30~34세","2023",3281148,1535015,561430,931480,13913,10,X,16094,-,-,X,X,81219,27439,42,6486,108013
"전국","계","30~34세","2024",3352888,1572932,540178,970061,12409,7,X,17265,-,-,5,X,82360,27848,41,6395,123387
"전국","계","35~39세","2015",3765009,1804414,1232984,543472,47403,89,6,-,2843,818,X,X,94659,7465,324,4035,26497
"전국","계","35~39세","2016",3841035,1829077,1251967,572545,47448,91,10,-,3178,985,X,X,91401,8187,268,3935,31941
"전국","계","35~39세","2017",3898665,1867792,1255828,585954,44895,75,15,-,3366,1140,X,X,89450,9178,221,4125,36626
"전국","계","35~39세","2018",3912833,1888470,1249064,586942,41046,91,X,-,3437,1250,X,X,86348,10245,217,4172,41549
"전국","계","35~39세","2019",3789676,1846492,1195709,567148,36251,96,5,-,3630,1367,X,X,79195,10808,188,4492,44295
"전국","계","35~39세","2020",3603275,1788768,1124946,523457,28144,71,5,4668,-,-,X,X,69686,11164,153,4314,47898
"전국","계","35~39세","2021",3424210,1733971,1049167,480309,22805,70,5,4619,-,-,X,X,63874,11847,126,4504,52911
"전국","계","35~39세","2022",3229820,1641958,964585,465081,20089,65,X,4704,-,-,X,X,59499,12455,99,4400,56880
"전국","계","35~39세","2023",3099533,1570688,898052,471206,19338,60,X,4875,-,-,X,X,56820,13281,87,4244,60877
"전국","계","35~39세","2024",3049503,1546124,856815,481236,17500,45,X,4978,-,-,X,X,55487,13866,83,4360,69008
"전국","계","40~44세","2015",4194519,2192931,1450220,368035,42861,2057,51,-,625,225,X,X,100022,3722,1439,3883,28448
"전국","계","40~44세","2016",4016679,2078477,1391294,370065,41529,1688,106,-,719,241,X,X,93198,3923,1162,3607,30669
